"Type","name","Nodes","Edges","Labels","Max","Instance","a","b","c","d","Value","t","Cost"
"CBFS","400_15960_400_12_10",400,15960,400,12,10,517,517,1.413164485,0,1,1.413293468,2453682
"CBFS","400_15960_400_12_9",400,15960,400,12,9,517,517,1.486843751,0,1,1.487014855,2453682
"CBFS","400_15960_400_12_8",400,15960,400,12,8,517,517,4.689018433,73,1,4.696436404,2701979
"CBFS","500_24950_125_3_1",500,24950,125,3,1,126,126,0.170001,0,24,0.304719456,68153
"CBFS","500_24950_125_3_2",500,24950,125,3,2,126,126,0.195441351,0,23,0.353805601,68059
"CBFS","500_24950_125_3_3",500,24950,125,3,3,126,126,0.1053943,0,17,0.234151688,67921
"CBFS","500_24950_125_3_4",500,24950,125,3,4,126,126,0.1106886,0,20,0.244721973,67875
"CBFS","500_24950_125_3_5",500,24950,125,3,5,126,126,0.10673345,0,24,0.274812649,67447
"CBFS","500_24950_125_3_6",500,24950,125,3,6,126,126,0.10712607,0,23,0.237181089,67755
"CBFS","500_24950_125_3_7",500,24950,125,3,7,126,126,0.226627716,95,23,0.238856474,67578
"CBFS","500_24950_125_3_8",500,24950,125,3,8,126,126,0.132776068,13,24,0.235696044,67371
"CBFS","500_24950_125_3_9",500,24950,125,3,9,126,126,0.144383803,0,20,0.273555493,67431
"CBFS","500_24950_125_3_10",500,24950,125,3,10,126,126,0.114511641,0,22,0.244158278,68056
"CBFS","400_15960_400_12_4",400,15960,400,12,4,517,517,11.791764613,281,1,11.799335192,3356440
"CBFS","500_24950_250_7_1",500,24950,250,7,1,300,300,0.638459307,0,3,4.861693904,843428
"CBFS","500_24950_250_7_2",500,24950,250,7,2,300,300,0.651390141,0,3,4.874274155,843713
"CBFS","500_24950_250_7_3",500,24950,250,7,3,300,300,2.202233054,101,2,4.790420231,841918
"CBFS","500_24950_250_7_4",500,24950,250,7,4,300,300,0.662980743,0,2,4.941188594,841975
"CBFS","500_24950_250_7_5",500,24950,250,7,5,300,300,0.594933545,0,2,4.583224621,843025
"CBFS","500_24950_250_7_6",500,24950,250,7,6,300,300,0.656294084,0,3,4.721802198,839115
"CBFS","500_24950_250_7_7",500,24950,250,7,7,300,300,1.306029631,47,3,4.223960764,810195
"CBFS","500_24950_250_7_8",500,24950,250,7,8,300,300,0.721262702,0,2,4.562986904,828730
"CBFS","500_24950_250_7_9",500,24950,250,7,9,300,300,1.664581772,58,3,4.721070172,845547
"CBFS","500_24950_250_7_10",500,24950,250,7,10,300,300,1.05522723,23,3,4.74763896,825940
"CBFS","400_15960_500_12_5",400,15960,500,12,5,544,544,1.871647683,0,5,37.713087815,5578543
"CBFS","400_15960_500_12_1",400,15960,500,12,1,544,544,35.045576302,469,5,41.598617733,5676135
"CBFS","400_15960_500_12_10",400,15960,500,12,10,544,544,29.307006184,373,6,40.834519579,5661076
